time_utc,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon,time_local,label,_target_orig,date,new_label
,295.31,308.044,291.451,,82872.937,96078.681,0.04,-0.008,2.054,0.365,-0.0,0.0,-0.001,32.987,0.947,13582.245,500.708,0.0,0.386,1.031,2.725,0.042,,,,306.974,311.395,290.945,299.766,76.915,65.146,,93.343,3.762,31.517,76.68,2013-06-12 20:30:00+05:30,,2013-06-12 15:00:00,2013-06-12,0
,296.505,288.525,293.643,292.316,83043.08,96115.534,-0.396,-0.214,,0.331,-0.001,0.001,0.001,32.714,0.932,13255.471,632.46,,0.346,0.956,2.111,0.434,62.437,2.133,,298.09,293.939,299.319,311.404,73.358,,56.369,96.131,3.418,,,2013-06-12 21:30:00+05:30,1.04,2013-06-12 16:00:00,2013-06-12,0
,284.871,,304.531,,81824.013,98995.841,-0.808,-0.671,,0.94,0.001,0.001,0.001,34.556,0.943,12868.639,,0.001,,2.464,4.475,1.069,46.98,,,305.786,297.652,299.345,298.351,135.658,63.768,,97.407,,30.243,79.933,2013-06-12 22:30:00+05:30,1.011,2013-06-12 17:00:00,2013-06-12,0
,295.996,,290.047,283.393,90296.697,104890.418,-0.794,-0.621,4.782,1.344,-0.0,-0.001,0.0,36.9,0.954,13317.344,835.661,,1.361,,,,49.549,4.633,,,290.064,,298.846,76.889,64.131,57.421,,2.498,31.148,82.427,2013-06-12 23:30:00+05:30,1.013,2013-06-12 18:00:00,2013-06-12,0
,285.688,279.811,293.835,,86018.544,105260.527,-0.908,-0.741,4.087,1.131,,0.0,-0.0,35.799,,13279.058,738.903,,,3.331,10.138,1.195,53.469,4.088,,288.813,302.417,300.733,300.667,81.149,180.88,71.0,99.95,2.118,30.063,76.489,2013-06-13 00:30:00+05:30,0.966,2013-06-12 19:00:00,2013-06-13,0
,300.343,,282.128,279.289,,104556.804,-0.951,-0.792,,2.671,,,0.0,,0.976,13383.866,813.863,-0.0,1.539,4.595,8.037,1.213,,4.29,,282.197,307.444,298.152,289.901,78.187,80.843,,98.861,1.985,,80.96,2013-06-13 01:30:00+05:30,1.048,2013-06-12 20:00:00,2013-06-13,0
,305.716,297.701,283.258,279.885,86448.731,102809.328,-1.009,,4.69,0.591,-0.001,0.0,0.001,35.157,0.888,13128.877,584.761,-0.001,0.559,2.27,4.56,1.272,81.834,4.434,,297.42,,296.817,,75.322,81.5,68.704,99.476,,28.968,75.798,2013-06-13 02:30:00+05:30,1.025,2013-06-12 21:00:00,2013-06-13,0
,290.192,279.733,296.11,286.038,,102474.276,-1.131,-1.206,4.139,1.014,0.0,-0.002,0.0,34.044,0.778,13624.137,,0.001,0.495,1.977,4.212,1.675,44.447,4.292,,298.603,,411.67,285.519,132.868,87.805,69.843,,1.613,30.517,79.168,2013-06-13 03:30:00+05:30,0.962,2013-06-12 22:00:00,2013-06-13,0
,291.33,292.86,294.535,296.502,,98279.494,-1.325,-1.16,4.305,0.368,,-0.001,0.0,35.036,0.575,13321.759,571.78,-0.001,,1.199,,1.391,65.824,4.619,1.0,301.779,,291.696,,76.291,81.423,67.262,92.87,,,80.127,2013-06-13 04:30:00+05:30,1.035,2013-06-12 23:00:00,2013-06-13,0
,291.727,,295.678,299.646,82720.78,103487.713,-0.976,-0.854,4.602,0.259,0.001,0.0,0.002,,0.747,,510.518,0.0,0.268,0.918,2.683,1.287,48.97,4.617,,301.148,281.415,487.105,308.075,81.01,85.826,68.676,94.099,1.188,,76.988,2013-06-13 05:30:00+05:30,1.03,2013-06-13 00:00:00,2013-06-13,0
,290.308,299.234,,295.757,84433.518,98503.515,-0.86,-0.767,5.133,0.348,0.0,0.001,0.001,32.71,1.645,,432.884,-0.0,0.334,0.984,2.678,1.096,44.804,5.066,,292.277,304.499,280.226,,76.03,83.864,69.444,92.851,1.532,30.081,81.038,2013-06-13 06:30:00+05:30,0.99,2013-06-13 01:00:00,2013-06-13,0
,,304.939,,306.239,85871.03,,-0.443,,4.641,0.245,0.001,0.001,-0.001,32.05,0.987,13413.39,422.165,-0.001,0.263,0.795,1.731,0.435,106.073,,,283.777,302.202,,302.258,,82.925,72.029,93.22,2.96,61.234,74.897,2013-06-13 07:30:00+05:30,0.958,2013-06-13 02:00:00,2013-06-13,0
,297.542,289.379,300.556,307.518,90061.92,97772.011,0.342,,4.401,0.2,-0.0,0.001,,31.842,1.035,12698.176,384.26,0.0,0.3,,1.488,0.393,230.817,4.234,,297.02,457.659,278.251,,74.271,84.585,72.919,191.582,4.34,31.304,78.787,2013-06-13 08:30:00+05:30,0.953,2013-06-13 03:00:00,2013-06-13,0
,308.76,281.824,311.389,304.496,88166.601,102995.303,0.356,0.126,4.785,0.194,,0.001,0.001,34.472,0.974,13122.289,479.662,0.001,,0.649,1.416,0.381,258.93,4.818,,,,292.633,289.651,79.302,87.041,66.986,,6.768,29.251,78.62,2013-06-13 09:30:00+05:30,1.012,2013-06-13 04:00:00,2013-06-13,0
,305.226,306.151,301.133,308.413,82203.67,105443.369,0.404,0.516,6.005,0.293,,,0.001,32.575,1.04,,675.875,-0.0,0.306,0.806,,0.664,212.975,5.798,,309.543,285.595,299.821,312.026,79.901,83.924,68.125,94.525,5.21,29.372,77.851,2013-06-13 10:30:00+05:30,1.019,2013-06-13 05:00:00,2013-06-13,0
,,279.145,312.491,292.482,88009.996,,0.818,,7.395,0.765,0.002,0.001,0.001,38.399,1.032,,789.702,0.0,0.745,1.839,,1.142,,7.156,,282.411,307.99,,,80.133,87.131,70.326,98.921,6.001,,78.098,2013-06-13 11:30:00+05:30,,2013-06-13 06:00:00,2013-06-13,0
,310.824,,562.498,281.578,,101220.052,0.944,1.321,7.161,,0.001,0.001,-0.0,49.573,1.044,13493.517,,0.001,3.611,8.301,13.958,,225.788,,,290.343,295.826,283.139,294.881,80.699,84.842,,97.361,4.778,,82.491,2013-06-13 12:30:00+05:30,,2013-06-13 07:00:00,2013-06-13,0
,,,308.531,308.987,82837.685,187466.265,1.0,,,6.025,,0.002,0.001,49.333,,,537.55,-0.001,3.578,9.494,14.929,1.424,227.11,7.895,,289.433,282.067,,283.957,79.034,80.473,69.61,,3.177,30.219,79.718,2013-06-13 13:30:00+05:30,1.036,2013-06-13 08:00:00,2013-06-13,0
,282.478,301.989,304.92,419.652,84343.09,103923.658,0.851,0.413,7.524,2.884,0.001,,0.002,,,13290.088,,0.0,2.688,8.615,14.712,0.965,242.195,7.464,,283.003,,281.548,293.513,76.781,84.883,68.893,96.22,2.497,,80.032,2013-06-13 14:30:00+05:30,1.045,2013-06-13 09:00:00,2013-06-13,0
,298.466,300.602,288.114,282.533,82067.145,197903.627,,-0.514,5.862,2.243,,0.0,-0.001,44.418,0.985,13599.157,648.193,0.001,2.349,7.66,13.583,0.765,303.627,5.806,,301.884,306.364,287.927,,76.592,85.788,70.016,92.356,1.853,30.575,82.353,2013-06-13 15:30:00+05:30,1.002,2013-06-13 10:00:00,2013-06-13,0
,,296.277,296.817,306.133,86450.201,100750.536,-0.229,-0.778,4.495,1.277,,0.0,0.001,39.063,,12649.883,233.889,0.0,,,9.644,0.796,,4.248,,289.896,302.771,285.954,305.454,74.067,82.88,,101.74,2.101,30.991,79.46,2013-06-13 16:30:00+05:30,0.965,2013-06-13 11:00:00,2013-06-13,0
,308.397,283.406,,309.944,88661.461,102198.847,,-0.788,4.668,0.866,-0.002,0.001,0.002,35.521,1.034,13603.336,421.532,0.002,,,8.378,0.946,34.004,4.662,,,,,295.543,79.055,,,147.633,2.155,30.398,80.658,2013-06-13 17:30:00+05:30,0.988,2013-06-13 12:00:00,2013-06-13,0
,287.791,292.433,303.273,295.788,86094.275,,-0.731,-1.452,,0.519,-0.0,0.001,-0.0,36.277,0.991,13511.683,164.559,0.0,,,6.148,,36.771,5.758,,,301.081,283.598,289.49,,81.044,73.151,,2.145,30.548,81.393,2013-06-13 18:30:00+05:30,0.957,2013-06-13 13:00:00,2013-06-13,0
,289.755,282.72,283.6,,84870.582,,-0.478,,7.544,0.281,-0.0,-0.001,-0.001,32.516,0.965,13205.831,,-0.001,,,,0.815,34.798,,,290.825,283.015,,294.962,78.254,82.186,72.467,93.628,1.075,29.628,78.894,2013-06-13 19:30:00+05:30,1.043,2013-06-13 14:00:00,2013-06-13,0
,304.0,295.607,286.067,297.81,85384.632,97641.558,,,3.659,0.198,-0.0,,0.001,32.38,0.82,13155.854,90.307,0.002,,0.686,2.736,,40.593,3.708,,306.718,,280.129,285.268,,81.711,,93.451,0.631,,78.046,2013-06-13 20:30:00+05:30,,2013-06-13 15:00:00,2013-06-13,0
,293.627,302.918,287.611,296.006,124860.828,102784.083,-1.015,,4.064,0.169,,0.002,-0.0,30.971,0.801,,102.942,,,1.007,,1.201,49.018,,,282.415,291.899,306.73,285.367,,84.382,68.948,,0.488,31.24,80.438,2013-06-13 21:30:00+05:30,0.954,2013-06-13 16:00:00,2013-06-13,0
,426.194,285.643,304.381,306.413,83815.329,95727.085,-0.892,,3.96,0.141,,0.001,-0.001,32.872,0.715,13012.398,,0.0,,0.457,1.249,1.189,48.617,3.846,,293.798,293.945,295.855,312.477,76.16,,69.433,,0.522,29.54,80.402,2013-06-13 22:30:00+05:30,0.967,2013-06-13 17:00:00,2013-06-13,0
,298.678,278.216,555.12,290.445,,103123.983,-0.955,-0.926,3.722,0.294,,0.001,-0.001,31.964,0.856,12764.516,190.233,0.0,0.145,0.48,1.08,,46.505,,,306.362,300.835,288.311,,,87.037,,94.386,0.574,30.997,80.291,2013-06-13 23:30:00+05:30,0.978,2013-06-13 18:00:00,2013-06-13,0
,294.21,279.539,,296.064,87723.918,,-1.008,-0.962,,0.17,-0.0,-0.0,0.0,30.973,0.979,12492.256,206.129,0.0,0.184,0.5,,1.4,44.762,4.031,,,294.09,283.326,297.326,81.714,,61.506,94.441,0.939,,76.034,2013-06-14 00:30:00+05:30,1.018,2013-06-13 19:00:00,2013-06-14,0
,286.894,290.697,289.124,297.844,85361.885,,-1.022,-1.107,4.344,0.251,0.0,-0.0,-0.0,,1.008,13397.336,257.716,-0.001,0.257,1.159,1.376,,40.968,,,305.84,296.558,,309.715,80.142,,60.892,93.859,,30.569,76.412,2013-06-14 01:30:00+05:30,1.01,2013-06-13 20:00:00,2013-06-14,0
,,,282.064,278.954,84498.514,104145.318,-0.861,-1.078,,,,0.001,0.0,62.167,1.013,,,-0.0,0.358,,1.777,1.49,38.079,4.222,,299.78,298.55,307.395,288.298,83.718,,61.333,98.597,2.373,,,2013-06-14 02:30:00+05:30,0.958,2013-06-13 21:00:00,2013-06-14,0
,289.183,,,,89912.462,98923.849,-0.754,,3.839,0.409,-0.0,0.001,0.002,34.548,0.967,12687.056,367.538,-0.001,,1.165,2.066,1.329,,3.996,,304.556,283.734,300.281,301.382,81.948,73.962,65.561,94.14,4.407,30.912,,2013-06-14 03:30:00+05:30,1.018,2013-06-13 22:00:00,2013-06-14,0
,,306.32,280.962,,89269.244,103761.085,-0.867,-0.942,,0.379,0.0,0.001,0.001,,1.021,12447.375,333.897,,0.362,1.142,2.064,1.294,43.716,3.694,,303.798,301.811,283.679,291.718,80.81,73.688,61.056,94.849,1.601,28.889,78.272,2013-06-14 04:30:00+05:30,0.957,2013-06-13 23:00:00,2013-06-14,0
,285.596,294.285,289.821,,127172.527,95708.182,-0.965,,3.804,0.294,0.001,0.001,0.001,,0.96,13032.224,246.737,0.0,0.292,0.981,1.86,1.958,41.128,,,288.497,294.025,300.261,290.617,78.413,68.937,61.863,98.486,1.371,28.749,76.612,2013-06-14 05:30:00+05:30,,2013-06-14 00:00:00,2013-06-14,0
,289.859,,289.344,,,95872.141,,-1.081,3.882,0.22,-0.0,,-0.001,31.894,,13171.214,228.122,0.0,,0.8,,1.401,41.73,,,298.025,458.898,,300.907,79.955,71.644,,94.993,1.388,29.385,76.325,2013-06-14 06:30:00+05:30,,2013-06-14 01:00:00,2013-06-14,0
,,285.846,,286.946,89249.911,95684.808,-0.662,-0.768,,0.232,,-0.002,,29.433,0.732,13295.979,276.383,,0.171,0.617,1.532,0.973,,,,,587.164,289.563,293.1,84.096,68.566,62.061,95.003,,,,2013-06-14 07:30:00+05:30,0.981,2013-06-14 02:00:00,2013-06-14,0
,286.31,307.182,298.556,288.827,89091.569,100559.533,,-0.421,3.461,0.153,0.0,0.001,-0.0,29.912,0.637,13172.026,,0.001,0.139,0.49,1.226,0.553,39.29,3.454,,,293.512,302.96,302.497,81.416,73.41,65.626,98.302,,,77.741,2013-06-14 08:30:00+05:30,,2013-06-14 03:00:00,2013-06-14,0
,302.053,,296.399,289.668,84783.344,96844.609,-0.072,-0.188,3.442,,0.001,-0.0,-0.002,30.853,0.56,12848.231,151.154,0.001,0.126,0.42,1.12,0.216,19.705,3.312,,293.323,,,,,70.07,,98.926,,29.129,76.55,2013-06-14 09:30:00+05:30,1.022,2013-06-14 04:00:00,2013-06-14,0
,,,308.419,,85199.63,104587.48,0.22,0.059,3.959,0.121,-0.0,0.001,0.0,29.912,0.552,12729.068,463.279,,0.113,0.392,1.017,,244.535,3.851,,294.392,285.309,292.259,293.771,79.447,72.044,61.229,96.515,5.855,29.199,,2013-06-14 10:30:00+05:30,1.579,2013-06-14 05:00:00,2013-06-14,0
,,306.576,470.642,,85216.484,102756.055,0.616,0.538,,0.123,0.0,-0.002,,30.924,,13308.202,309.765,0.001,0.12,0.402,0.909,0.856,221.124,3.967,,304.639,305.497,300.393,308.067,82.306,73.706,,94.835,,,78.922,2013-06-14 11:30:00+05:30,1.033,2013-06-14 06:00:00,2013-06-14,0
,,503.714,,,85793.9,,0.829,0.991,5.943,0.213,0.0,-0.001,0.001,,0.782,13238.761,279.493,-0.001,0.193,0.569,,1.242,223.389,5.633,,283.89,292.831,,304.804,,68.468,,91.774,5.805,31.023,77.599,2013-06-14 12:30:00+05:30,0.992,2013-06-14 07:00:00,2013-06-14,0
,299.443,,296.94,299.03,89576.697,,1.067,0.789,6.184,0.695,,-0.002,0.001,35.408,0.845,12922.542,351.024,-0.0,0.708,1.713,3.084,1.262,244.7,6.253,,303.576,,303.39,312.16,83.913,72.552,60.432,,7.235,29.11,79.496,2013-06-14 13:30:00+05:30,1.003,2013-06-14 08:00:00,2013-06-14,0
,,295.414,283.567,311.202,86989.541,100024.638,1.27,0.734,6.182,1.207,0.0,,0.0,38.994,0.695,13372.679,464.288,0.0,2.431,3.159,,1.565,242.259,,,288.504,289.23,281.746,492.343,131.476,67.676,63.86,93.32,8.088,28.912,81.362,2013-06-14 14:30:00+05:30,,2013-06-14 09:00:00,2013-06-14,0
,297.128,288.483,288.44,,86254.714,105194.277,1.087,0.197,6.686,2.201,-0.0,,0.002,43.622,1.019,12689.864,506.305,0.001,,5.881,,1.16,265.612,,,622.405,305.225,287.8,312.301,81.21,,61.389,97.309,4.592,31.502,,2013-06-14 15:30:00+05:30,0.96,2013-06-14 10:00:00,2013-06-14,0
,571.355,285.937,,292.388,,97963.985,0.962,,6.255,1.053,0.001,0.001,,,0.801,13528.248,136.6,0.001,1.105,3.739,10.581,,,5.961,,284.047,283.827,292.356,293.934,,69.42,,94.77,4.764,,80.489,2013-06-14 16:30:00+05:30,1.036,2013-06-14 11:00:00,2013-06-14,0
,310.83,299.69,,290.223,89724.226,103144.329,0.471,,8.88,,0.001,,0.001,,0.716,13376.47,169.463,-0.001,0.519,2.198,,0.481,,4.896,,284.571,287.545,287.447,290.484,,73.48,61.209,,6.138,29.051,82.202,2013-06-14 17:30:00+05:30,1.008,2013-06-14 12:00:00,2013-06-14,0
,300.059,279.756,289.576,292.336,88790.642,101468.085,-0.078,0.151,3.598,0.278,-0.0,-0.001,0.001,,1.027,,175.154,-0.001,0.263,1.2,3.322,,215.755,3.741,,292.722,293.282,512.024,297.512,84.721,71.165,59.768,93.871,4.429,31.101,81.133,2013-06-14 18:30:00+05:30,1.006,2013-06-14 13:00:00,2013-06-14,0
,,302.787,311.096,293.521,84690.306,102954.34,-0.675,-0.162,2.057,0.17,,0.0,-0.002,30.165,0.714,12733.015,269.82,,0.18,0.63,2.575,,75.244,2.176,,294.727,306.612,292.36,308.292,83.413,,,91.352,3.695,29.127,,2013-06-14 19:30:00+05:30,0.984,2013-06-14 14:00:00,2013-06-14,0
,295.005,286.745,301.94,304.572,85257.093,102510.869,-0.972,-0.555,,0.284,,0.001,,31.38,,12539.657,,-0.0,0.149,0.515,2.177,1.068,62.034,2.045,,300.073,292.25,,289.294,83.46,68.272,63.513,90.45,,30.15,,2013-06-14 20:30:00+05:30,,2013-06-14 15:00:00,2013-06-14,0
,281.838,296.453,306.36,304.031,89373.115,99735.217,-1.014,-0.637,2.523,0.139,-0.0,-0.0,,54.796,0.804,12646.383,334.672,-0.0,,0.436,1.279,,56.257,,,292.625,285.453,294.865,304.035,78.868,67.433,64.48,91.656,1.7,28.722,82.206,2013-06-14 21:30:00+05:30,1.01,2013-06-14 16:00:00,2013-06-14,0
,438.696,299.44,,,82397.878,101438.455,-1.058,-0.886,3.792,1.028,,0.0,-0.001,37.504,0.67,13526.492,346.599,0.0,1.012,2.488,4.709,1.376,50.945,3.841,,301.719,,296.558,299.421,78.466,67.293,65.063,90.939,1.604,,,2013-06-14 22:30:00+05:30,0.997,2013-06-14 17:00:00,2013-06-14,0
,,281.432,297.047,,81806.88,144730.846,-0.853,-0.725,4.469,,0.0,0.0,-0.001,34.635,0.442,13134.078,288.051,0.001,0.906,2.554,4.393,1.203,,4.521,,,285.45,286.312,310.115,82.294,70.144,,161.741,,,74.94,2013-06-14 23:30:00+05:30,1.033,2013-06-14 18:00:00,2013-06-14,0
,293.328,574.323,293.0,,84599.572,102541.41,-2.002,-0.799,3.769,0.242,-0.0,-0.001,,30.882,0.582,13157.676,263.194,-0.001,0.231,1.285,2.029,1.293,53.462,3.703,,294.152,304.21,300.044,304.664,80.505,83.317,73.957,102.463,1.492,29.831,75.752,2013-06-15 00:30:00+05:30,0.957,2013-06-14 19:00:00,2013-06-15,0
,304.87,299.349,,305.931,83616.431,,-1.447,-0.634,3.504,0.409,0.001,-0.001,0.001,32.113,0.768,12848.143,258.12,0.001,,1.09,2.193,0.999,49.398,3.494,,297.186,293.418,280.8,303.67,79.408,83.422,78.341,,0.786,30.245,82.019,2013-06-15 01:30:00+05:30,0.971,2013-06-14 20:00:00,2013-06-15,0
,,301.141,283.268,289.611,83139.55,,-0.683,-0.546,3.388,0.404,0.001,-0.0,-0.001,30.98,0.548,,260.138,,0.384,1.127,,,,3.587,,307.236,289.337,285.687,285.692,79.582,82.685,74.332,,1.456,29.676,79.069,2013-06-15 02:30:00+05:30,1.037,2013-06-14 21:00:00,2013-06-15,0
,279.949,299.543,282.198,302.723,,98222.878,-1.448,,3.296,0.469,0.0,0.001,0.001,60.978,0.581,13510.497,110.756,,0.388,1.118,2.569,,39.708,3.297,,,288.624,302.019,304.733,80.187,84.385,,93.243,0.515,30.949,77.112,2013-06-15 03:30:00+05:30,,2013-06-14 22:00:00,2013-06-15,0
,306.392,298.945,285.251,300.502,85180.541,105244.579,-0.609,-0.983,,,0.001,-0.0,-0.0,31.807,0.494,23640.249,86.518,-0.001,,0.928,2.075,1.158,,3.627,,292.019,302.437,301.745,301.004,,,76.59,94.98,0.672,31.346,80.913,2013-06-15 04:30:00+05:30,0.991,2013-06-14 23:00:00,2013-06-15,0
,468.133,288.101,300.236,,83096.841,,-0.771,-0.881,,,-0.001,,-0.001,,,,46.699,0.001,0.126,0.551,1.227,1.185,43.937,3.964,,,308.495,290.937,,83.649,81.296,76.935,,1.227,28.665,81.786,2013-06-15 05:30:00+05:30,1.0,2013-06-15 00:00:00,2013-06-15,0
,,301.761,,283.414,89002.334,101924.263,-0.788,-0.726,4.564,0.108,0.001,-0.0,0.001,64.936,0.555,13500.208,62.273,-0.003,0.108,0.415,,,45.702,4.435,,292.562,307.94,284.849,296.584,84.986,79.253,76.781,93.786,1.372,,75.332,2013-06-15 06:30:00+05:30,1.774,2013-06-15 01:00:00,2013-06-15,0
,,554.392,291.976,287.225,86520.629,,,-0.111,4.581,0.221,-0.001,-0.0,0.001,,0.553,13533.977,133.09,,0.112,0.38,1.009,0.491,74.079,4.427,,303.057,300.167,282.888,291.824,82.048,81.33,72.82,99.003,2.704,,75.616,2013-06-15 07:30:00+05:30,,2013-06-15 02:00:00,2013-06-15,0
,,559.21,,292.207,89335.818,99728.312,-0.049,0.532,5.48,0.116,-0.0,0.001,-0.001,29.871,0.822,,116.514,-0.0,0.11,0.352,0.971,,173.903,3.759,,284.385,305.237,302.463,,82.402,85.229,75.893,98.036,3.704,,82.527,2013-06-15 08:30:00+05:30,0.958,2013-06-15 03:00:00,2013-06-15,0
,307.382,,,295.824,87596.207,96626.689,0.55,0.821,3.817,0.348,0.001,-0.0,0.001,,,13488.014,262.273,,0.35,0.93,1.849,0.96,211.357,3.967,,284.897,304.18,281.14,302.942,83.471,132.386,77.066,95.182,4.292,30.395,82.705,2013-06-15 09:30:00+05:30,1.04,2013-06-15 04:00:00,2013-06-15,0
,555.227,302.994,,294.825,,103553.217,,0.829,4.975,0.481,0.0,0.001,-0.002,35.133,,13100.437,330.686,0.002,0.494,1.35,,1.005,215.073,5.115,,281.318,,303.281,,84.785,79.562,78.065,99.826,4.774,29.485,,2013-06-15 10:30:00+05:30,1.984,2013-06-15 05:00:00,2013-06-15,0
,299.24,291.389,424.296,284.241,87791.36,102468.732,0.275,,,1.415,0.001,,0.0,40.111,0.983,,549.737,-0.001,,3.311,5.821,1.116,211.164,5.236,,,,292.445,302.452,80.071,81.658,76.508,134.545,2.621,30.905,81.51,2013-06-15 11:30:00+05:30,1.049,2013-06-15 06:00:00,2013-06-15,0
,295.728,299.323,,305.44,87879.672,97151.325,0.312,0.105,,1.294,-0.001,0.002,0.002,36.926,0.928,13663.718,,,1.26,3.509,6.141,,244.638,7.94,,285.657,289.354,281.482,307.876,80.225,79.22,75.621,93.525,,29.339,81.383,2013-06-15 12:30:00+05:30,0.997,2013-06-15 07:00:00,2013-06-15,0
,287.583,293.494,293.813,294.68,83798.722,96677.217,-0.335,,,1.192,0.0,0.0,0.001,36.44,0.893,13655.12,411.584,,1.111,3.441,6.194,0.659,30.583,3.507,,294.537,285.221,,283.118,82.59,84.439,,98.401,2.645,28.723,78.837,2013-06-15 13:30:00+05:30,0.984,2013-06-15 08:00:00,2013-06-15,0
,283.405,,305.861,,83601.165,102708.323,-0.661,-0.573,4.045,0.744,-0.001,,-0.001,53.466,0.756,13245.557,542.791,,0.734,2.654,5.051,0.831,51.207,4.155,,281.394,291.474,291.246,304.435,80.493,80.477,,96.28,3.758,29.847,80.383,2013-06-15 14:30:00+05:30,,2013-06-15 09:00:00,2013-06-15,0
,,306.025,302.929,308.999,,95641.328,-0.1,-0.577,4.995,0.476,,0.001,0.001,34.738,0.817,13277.793,759.316,0.0,,1.735,,0.575,9.538,,,307.372,301.906,296.884,290.856,85.506,85.441,71.994,97.323,3.767,56.521,81.835,2013-06-15 15:30:00+05:30,,2013-06-15 10:00:00,2013-06-15,0
,306.21,,309.75,304.84,82736.617,102080.161,,-0.054,5.433,0.407,-0.001,-0.0,-0.001,31.772,0.865,13349.836,,-0.0,0.408,1.399,,0.264,,5.402,,426.478,284.987,303.817,303.977,78.721,78.588,,101.486,3.828,29.266,80.749,2013-06-15 16:30:00+05:30,1.011,2013-06-15 11:00:00,2013-06-15,0
,282.232,302.724,298.166,297.481,86367.439,,,0.876,5.525,,-0.0,,,39.684,0.955,13206.048,784.496,-0.0,,3.34,7.308,,,6.033,,304.153,304.882,300.417,421.85,,84.9,,96.888,2.844,29.091,,2013-06-15 17:30:00+05:30,,2013-06-15 12:00:00,2013-06-15,0
,307.269,297.507,,,,99617.563,,,,2.158,0.002,0.001,-0.001,46.182,0.954,,446.411,-0.001,2.256,5.625,10.217,,,5.338,,,,281.052,291.654,84.047,80.088,72.638,98.541,2.418,,76.823,2013-06-15 18:30:00+05:30,,2013-06-15 13:00:00,2013-06-15,0
,303.883,303.888,,297.571,,104245.11,0.325,,4.267,0.729,0.002,0.002,-0.0,36.525,0.967,12461.938,348.546,0.0,1.339,2.814,7.915,,215.293,4.6,,281.732,304.262,,305.437,80.625,82.604,73.949,94.975,1.262,28.946,80.641,2013-06-15 19:30:00+05:30,0.965,2013-06-15 14:00:00,2013-06-15,0
,282.996,,,285.476,84446.776,,0.333,-0.089,5.635,0.709,-0.0,-0.001,0.0,38.039,0.957,,352.638,0.0,0.726,2.721,,0.322,278.202,5.931,,290.647,302.958,305.683,,78.884,81.871,76.639,93.274,1.041,,76.204,2013-06-15 20:30:00+05:30,0.971,2013-06-15 15:00:00,2013-06-15,0
,294.882,289.793,300.255,303.779,88988.647,101117.855,0.506,,7.546,,0.001,0.001,0.001,38.445,0.992,,409.911,,,,5.918,,,14.488,,289.402,305.781,,306.622,82.535,78.094,73.347,99.889,0.985,28.802,76.523,2013-06-15 21:30:00+05:30,0.988,2013-06-15 16:00:00,2013-06-15,0
,,280.753,281.839,285.317,82695.873,98993.329,0.046,0.061,7.316,1.897,0.001,0.002,0.003,40.871,0.951,12960.578,441.806,-0.001,,4.626,9.273,0.077,223.374,7.381,,,,303.079,294.305,,80.803,77.981,98.642,0.588,29.389,81.642,2013-06-15 22:30:00+05:30,0.982,2013-06-15 17:00:00,2013-06-15,0
,296.936,,290.713,,82345.747,96331.11,,0.294,6.054,2.111,0.001,0.003,0.001,45.46,0.959,12627.063,419.893,0.001,1.999,5.48,10.699,0.329,148.23,5.844,,301.748,299.887,298.499,295.22,78.758,85.635,73.228,94.576,0.294,31.519,76.063,2013-06-15 23:30:00+05:30,0.971,2013-06-15 18:00:00,2013-06-15,0
,302.751,,300.267,305.977,,104827.884,-0.359,0.3,7.694,3.903,0.002,0.004,0.001,51.646,1.801,13629.01,409.071,0.001,3.921,10.051,,0.474,,8.063,,304.458,290.482,583.92,307.566,89.632,90.469,91.057,102.1,0.435,31.023,81.387,2013-06-16 00:30:00+05:30,,2013-06-15 19:00:00,2013-06-16,0
,532.971,282.249,278.911,290.294,88040.539,139721.298,-0.573,-0.2,7.87,4.524,,0.004,0.003,107.156,0.948,13521.63,656.959,,,23.333,19.585,0.638,69.634,7.959,,307.749,,297.248,305.344,93.177,93.35,,94.692,0.575,,77.59,2013-06-16 01:30:00+05:30,0.994,2013-06-15 20:00:00,2013-06-16,0
,287.685,294.15,294.742,280.615,83948.833,99333.938,-0.791,-0.176,8.417,4.145,0.001,0.003,0.003,,1.017,12944.233,404.615,,,12.457,22.82,1.023,76.53,8.375,,292.058,298.677,,,,95.979,87.437,92.669,,,76.115,2013-06-16 02:30:00+05:30,0.968,2013-06-15 21:00:00,2013-06-16,0
,306.683,292.706,301.08,298.77,85401.318,101022.883,-0.854,,,7.763,0.001,0.004,-0.001,51.288,,13286.588,148.053,-0.0,3.935,23.851,23.095,0.969,66.588,9.407,,305.416,305.185,302.109,,93.948,,91.199,99.642,0.655,41.705,78.614,2013-06-16 03:30:00+05:30,1.001,2013-06-15 22:00:00,2013-06-16,0
